地理位置,年份,不安全的水，环境卫生和洗手,烟草烟雾,空气污染,饮食风险,高血压,Total_Deaths,不安全的水，环境卫生和洗手_Pct,烟草烟雾_Pct,空气污染_Pct,饮食风险_Pct,高血压_Pct,DALY_Rate,ISO_Code,GDP_per_capita,Health_exp_gdp,HALE,Adjusted net national income (constant 2015 US$),"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","Annual freshwater withdrawals, total (% of internal resources)",Current health expenditure (% of GDP)_x,Current health expenditure per capita (current US$)_x,Domestic general government health expenditure (% of GDP),Domestic general government health expenditure per capita (current US$)_x,GDP (constant 2015 US$),GDP per capita (constant 2015 US$),Gini index,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,"Life expectancy at birth, total (years)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Poverty headcount ratio at societal poverty line (% of population),CPIA quality of public administration rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Community health workers (per 1,000 people)",Current health expenditure (% of GDP)_y,Current health expenditure per capita (current US$)_y,Domestic general government health expenditure per capita (current US$)_y,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Hospital beds (per 1,000 people)",Out-of-pocket expenditure per capita (current US$),"Physicians (per 1,000 people)",UHC service coverage index,Urban population (% of total population)
阿富汗,2000,15634.429919146809,5815.134320839603,34891.05230257075,17086.88668119551,30662.808472020584,189300.76423121392,8.259042155820753,3.0719021893313316,18.431543287355385,9.026316798343935,16.197931686408147,67655.6348147384,AFG,813.5502559896245,9.44339085,46.03,18572571195.5786,0.808049362,43.01590668080594,9.44339085,16.70697403,0.08418062,0.14892995,5621147630.730684,277.1180514439406,38.5,54.75701944,55.511,16.6,29.7629255070812,22.3095245309963,30.85,2.0,2.0,2.5,0.2325,9.44339085,16.70697403,0.14892995,1.91133178969913,3.45024324176183,13.68165274149,0.45,14.26368185,0.202,31.0,18.7412381251552
阿富汗,2001,14360.567665761682,5825.155494580571,34037.894191735315,17069.950158575124,30453.1037194426,183409.8246226357,7.829770131075824,3.1760324216904867,18.55838108005829,9.306998790111933,16.60385629946467,67163.00598117744,AFG,747.6880454924132,9.44339085,46.12,18572571195.5786,0.808049362,43.01590668080594,9.44339085,16.70697403,0.08418062,0.14892995,5621147630.730684,277.1180514439406,38.5,54.75701944,55.511,16.6,29.7629255070812,22.3095245309963,30.85,2.0,2.0,2.5,0.2325,9.44339085,16.70697403,0.14892995,1.91133178969913,3.45024324176183,13.68165274149,0.45,14.26368185,0.202,31.0,18.7412381251552
阿富汗,2002,12291.456623926892,5668.20778971551,32511.128193902816,16499.220525027667,29494.252121512676,173099.1370058593,7.100819123962953,3.274544222322521,18.781796810923638,9.53165960871843,17.038936549125786,64803.81639891947,AFG,926.5079410116457,9.44339085,47.18,18572571195.5786,0.855760041,43.01590668080594,9.44339085,16.70697403,0.08418062,0.14892995,7228795918.925245,338.13997364338707,38.3,54.75701944,56.225,16.6,31.8360773279001,23.7347094449173,30.8,2.0,2.0,2.5,0.2825,9.44339085,16.70697403,0.14892995,1.91133178969913,3.45024324176183,13.68165274149,0.45,14.26368185,0.1948,32.0,18.9412480133309
阿富汗,2003,14293.494607658497,5980.076970019678,34309.77486610566,16478.034337604367,29431.427767883662,172843.55981296606,8.269613645498554,3.4598205316360735,19.850189907701655,9.533496275727739,17.027783852479892,61972.89563039503,AFG,966.9620320557813,8.94125843,47.98,18572571195.5786,0.903386075,43.01590668080594,8.94125843,17.74602509,0.65096337,1.2919895,7867263256.28817,346.0716270962232,38.55,54.75701944,57.171,16.6,33.9086290770251,25.160116505547,29.4,2.0,2.0,2.5,0.2825,8.94125843,17.74602509,1.2919895,1.91133178969913,3.45024324176183,13.68165274149,0.45,15.27386016,0.18760000000000002,33.0,19.1600346409089
阿富汗,2004,14985.09164624045,6281.647206160237,35485.32503951418,16709.141587212187,29770.938977781185,176867.50960346652,8.472495417522827,3.551611723511891,20.06322422873007,9.447264579386996,16.83233910203578,60617.186179491466,AFG,971.633503046666,9.80847359,48.32,18572571195.5786,0.95092769,43.01590668080594,9.80847359,21.42300415,0.54292566,1.18582148,7978515641.583037,338.6372738881967,38.88333333333333,54.75701944,57.81,16.6,35.9993546342258,26.592743290922,29.0,2.0,2.0,2.5,0.2825,9.80847359,21.42300415,1.18582148,1.91133178969913,3.45024324176183,13.68165274149,0.45,18.10834931,0.1804,34.0,19.3993593959593
阿富汗,2005,13485.508224593616,6314.261151193113,34516.53505679319,16667.429756591308,29638.17255468114,173018.2475994038,7.79426933962316,3.6494769995664145,19.949650129800602,9.633336360672248,17.130084812385572,59651.86213140955,AFG,1076.0873526087053,9.94828892,48.61,18572571195.5786,0.99838511,43.01590668080594,9.94828892,25.11388779,0.5291841,1.33589505,8874480195.583212,363.6401414367734,39.087500000000006,54.75701944,58.247,16.6,38.1080542246859,28.0329173729232,29.0,2.0,2.0,2.5,0.24066666666666667,9.94828892,25.11388779,1.33589505,1.91133178969913,3.45024324176183,13.68165274149,0.45,19.83245909,0.17320000000000002,35.0,19.7059095753667
阿富汗,2006,11940.186431763172,6306.031287393904,33578.42480066765,16568.937214841328,29505.016153756293,171853.80510814313,6.9478743425259175,3.669416154868193,19.53894752550729,9.641297848723761,17.168672020494135,59052.046141860286,AFG,1121.8344707774859,10.62276554,48.79,18572571195.5786,0.99838511,43.01590668080594,10.62276554,28.9412632,0.49784002,1.35634352,9349921885.778883,367.75831169358025,38.65,54.75701944,58.553,16.6,40.2157630407476,29.4737113537171,28.25,2.0,2.0,2.5,0.24225,10.62276554,28.9412632,1.35634352,1.91133178969913,3.45024324176183,13.68165274149,0.45,22.23411899,0.166,35.0,20.1104530189181
阿富汗,2007,10815.20560835825,6329.809573346648,32785.42198465761,16445.703583071518,29365.038047793558,171244.96672157702,6.3156341558011615,3.6963478077800267,19.14533467016442,9.60361282314953,17.14797147617042,58101.71079224214,AFG,1286.9498431267489,9.90467453,49.01,18572571195.5786,0.99838511,43.01590668080594,9.90467453,32.70893097,0.55994755,1.84915566,10642671963.11354,410.75772887909744,37.80285714285715,54.75701944,58.956,16.6,42.4294955631251,30.8753174900848,27.516666666666666,2.0,2.0,2.0,0.2683,9.90467453,32.70893097,1.84915566,1.91133178969913,3.45024324176183,13.68165274149,0.45,25.56856604,0.182,36.0,20.5906579215423
阿富汗,2008,9190.339865078897,6271.290179610483,31310.336809536948,16333.261123445835,29205.15928940497,164723.07603635802,5.579266782906838,3.8071716061362713,19.00786311362111,9.915587734556828,17.729853031009903,56653.81245653963,AFG,1333.7472666189688,10.25649548,49.55,18572571195.5786,0.99838511,43.01590668080594,10.25649548,39.88624954,0.62779975,2.44143601,11060395115.680857,417.6472826474983,37.5,54.75701944,59.708,16.6,44.6537922388598,32.2737202067488,27.025,2.0,2.5,2.0,0.2485,10.25649548,39.88624954,2.44143601,1.91133178969913,3.45024324176183,13.68165274149,0.45,30.07558277,0.183,36.0,21.1241481349633
阿富汗,2009,8128.3092866543075,6249.091077015858,30353.90139629296,16287.241999392212,29184.48121307667,160203.2018371229,5.073749583930465,3.900727953845298,18.94712530599325,10.166614532430692,18.21716474977089,55262.334981027685,AFG,1570.698145179488,9.81848717,50.07,18572571195.5786,0.99838511,43.01590668080594,9.81848717,43.13351822,0.53190351,2.33670096,13426272073.23976,488.8306524919485,37.45,54.75701944,60.248,16.6,46.8885842088645,33.6691080892303,26.766666666666666,2.0,2.5,2.0,0.273125,9.81848717,43.13351822,2.33670096,1.91133178969913,3.45024324176183,13.68165274149,0.45,31.39224717,0.22,37.0,21.6885475109053
